Datetime,TotalMainAsset,FreeMainAsset,ProductPirce,percentPortValue,percentPriceChange,percentGrowth
2021-02-19 22:55:52,6.40621818,6.40621818,0.0545565,3.50706363636362,-2.57767857142857,6.0847422077922
2021-02-20 2:56:01,6.18911211,6.18911211,0.054486,2.23720909090906,-2.70357142857143,4.9407805194805
2021-02-20 6:56:04,6.2496977,6.2496977,0.054974,2.75091818181819,-1.83214285714285,4.58306103896104
2021-02-20 10:56:18,6.14253582,6.14253582,0.054897,2.47631818181817,-1.96964285714285,4.44596103896103
2021-02-20 18:20:33,6.19850284,6.19850284,0.056896,2.84799090909089,1.6,1.2479909090909
2021-02-20 22:20:41,6.31898971,6.21091571,0.0552445,4.01124545454543,-1.34910714285714,5.36035259740257
2021-02-21 2:20:55,6.32131301,6.32131301,0.0554705,4.37944545454543,-0.945535714285718,5.32498116883115
2021-02-21 6:21:09,6.17097878,6.17097878,0.0540585,3.17220909090906,-3.46696428571428,6.63917337662336
2021-02-21 10:21:36,6.39459435,6.39459435,0.0559429999999999,4.89622727272726,-0.101785714285716,4.99801298701298
2021-02-21 14:30:44,6.33915385,6.33915385,0.0549835,4.3268409090909,-1.81517857142857,6.14201948051948
2021-02-21 18:30:51,6.28435785,6.28435785,0.054664,3.85314090909088,-2.38571428571429,6.23885519480519
2021-02-21 23:20:00,6.2861866,6.2861866,0.0548179999999999,4.26135454545452,-2.11071428571428,6.37206883116882
2021-02-22 3:20:11,6.2861866,6.2861866,0.0547865,3.8799818181818,-2.16696428571428,6.04694610389609
2021-02-22 7:20:43,6.41612779,6.41612779,0.05544,4.63406818181817,-0.999999999999996,5.63406818181816
2021-02-22 11:20:52,6.42213456,6.42213456,0.056744,5.73346363636362,1.32857142857143,4.40489220779219
2021-02-22 19:28:50,6.65397065,6.65397065,0.0542245,7.16351363636362,-3.17053571428571,10.3340493506493
2021-02-22 23:28:59,6.16310094,6.16310094,0.0532059999999999,3.38293181818181,-4.9892857142857,8.37221753246752
2021-02-23 3:29:10,6.22170729,6.22170729,0.054387,4.42809545454546,-2.88035714285714,7.30845259740261
2021-02-23 7:29:39,6.16880729,6.16880729,0.052674,2.96519545454544,-5.93928571428571,8.90448116883116
2021-02-23 11:30:07,5.96337904,5.96337904,0.0512934999999999,1.76890909090907,-8.40446428571428,10.1733733766233
2021-02-23 17:43:48,5.91604201,5.91604201,0.0458509999999999,1.39942727272726,-18.1232142857141,19.5226415584415
2021-02-23 21:44:04,5.51664247,5.51664247,0.0449635,-3.91390454545456,-19.7080357142857,15.7941311688311
2021-02-24 1:44:17,5.47790427,5.47790427,0.046008,-3.11405454545455,-17.8428571428571,14.7288025974025
2021-02-24 5:44:33,5.62280648,5.62280648,0.046758,-2.07012272727274,-16.5035714285714,14.4334487012986
2021-02-24 16:50:17,5.62280648,5.62280648,0.054183,-1.19953181818181,-3.24464285714285,2.04511103896103
2021-02-24 20:50:40,6.73510135,6.73510135,0.0570049999999999,7.74198636363634,1.79464285714285,5.9473435064935
2021-02-25 0:50:45,6.75060229,6.75060229,0.0579485,8.49014545454545,3.47946428571428,5.01068116883117
2021-02-25 4:51:16,6.36636479,6.36636479,0.0538684999999999,5.15743181818179,-3.80625,8.9636818181818
