IDorderOrderBuy,IDorderOrderSell,Open,Close,Amount,TradeTrigger,Zone,OpenTime,CloseTime,Profit,feeBuy,feeSell
28837659009.0,28872847293.0,0.0505755,0.0516294999999999,1.0,Grid,0.0515,2021-02-18T14:27:10.483587,2021-02-18T18:54:34.081003,0.0008539999999999,0.0002,
28838520381.0,28879716141.0,0.05092,0.0519899999999999,1.0,Grid,0.051,2021-02-18T14:32:26.075900,2021-02-18T19:40:35.215112,0.00037,0.0007,
28837660162.0,28879986020.0,0.0505755,0.0520679999999999,1.0,Grid,0.052,2021-02-18T14:27:11.094262,2021-02-18T19:42:33.067496,0.0012925,0.0002,
28873950652.0,28884835842.0,0.0512769999999999,0.052297,1.0,Grid,0.0515,2021-02-18T19:02:34.583359,2021-02-18T20:21:38.146054,0.00082,0.0002,
28837660747.0,28887899736.0,0.0505755,0.0526595,1.0,Grid,0.0525,2021-02-18T14:27:11.391662,2021-02-18T20:46:08.318488,0.0018839999999999,0.0002,
29091453491.0,29092849879.0,0.0542875,0.055344,1.0,Grid,0.0545,2021-02-19T23:22:46.687266,2021-02-19T23:33:45.519440,0.0008564999999999,0.0002,
29095377380.0,29118374335.0,0.054485,0.056088,1.0,Grid,0.0545,2021-02-19T23:55:46.755223,2021-02-20T03:37:13.508167,0.0014029999999999,0.0002,
29088262942.0,29118376243.0,0.0545565,0.056088,1.0,Grid,0.055,2021-02-19T22:56:28.230196,2021-02-20T03:37:14.450176,0.0013314999999999,0.0002,
29088264032.0,29118450558.0,0.0545565,0.056645,1.0,Grid,0.0555,2021-02-19T22:56:28.886445,2021-02-20T03:37:51.774812,0.0013884999999999,0.0007,
29088266849.0,29118452918.0,0.0545565,0.056645,1.0,Grid,0.0559999999999999,2021-02-19T22:56:30.681272,2021-02-20T03:37:52.760881,0.0013884999999999,0.0007,
29120267122.0,29121724190.0,0.055227,0.056594,1.0,Grid,0.0555,2021-02-20T03:53:18.759560,2021-02-20T04:07:53.483133,0.001167,0.0002,
29147198693.0,29168464020.0,0.053354,0.054379,1.0,Grid,0.0535,2021-02-20T07:57:21.498579,2021-02-20T10:26:47.089096,0.0008249999999999,0.0002,
29142291806.0,29172963754.0,0.05386,0.054897,1.0,Grid,0.054,2021-02-20T07:23:15.720704,2021-02-20T10:56:19.663657,0.0008369999999999,0.0002,
29187649138.0,29198679461.0,0.0539399999999999,0.055032,1.0,Grid,0.054,2021-02-20T12:45:48.138115,2021-02-20T14:11:15.353301,0.0008919999999999,0.0002,
29141497724.0,29232762829.0,0.0543159999999999,0.056896,1.0,Grid,0.0545,2021-02-20T07:18:13.712787,2021-02-20T18:20:35.370474,0.0023799999999999,0.0002,
29127716642.0,29232763545.0,0.054924,0.056896,1.0,Grid,0.055,2021-02-20T05:02:07.831738,2021-02-20T18:20:35.749238,0.001772,0.0002,
29122924063.0,29232834922.0,0.0554809999999999,0.0568005,1.0,Grid,0.0555,2021-02-20T04:17:26.229448,2021-02-20T18:21:08.741340,0.0011195,0.0002,
29118557791.0,29232836438.0,0.055786,0.0568005,1.0,Grid,0.0559999999999999,2021-02-20T03:38:45.182662,2021-02-20T18:21:09.392937,0.0008144999999999,0.0002,
29011761953.0,29249555491.0,0.056499,0.0576125,1.0,Grid,0.0565,2021-02-19T12:29:47.677140,2021-02-20T20:20:58.501277,0.0009134999999999,0.0002,
28837667607.0,28918262197.0,0.0505755,0.0575225,1.0,Grid,0.0575,2021-02-18T14:27:14.752753,2021-02-19T00:36:07.572139,0.0067469999999999,0.0002,
28918502752.0,28918795383.0,0.057217,0.0582284999999999,1.0,Grid,0.0575,2021-02-19T00:38:11.341688,2021-02-19T00:40:38.878898,0.0008115,0.0002,
28837669037.0,28918796215.0,0.0505755,0.0582284999999999,1.0,Grid,0.0579999999999999,2021-02-18T14:27:15.281642,2021-02-19T00:40:39.160130,0.007453,0.0002,
28837669838.0,28919060578.0,0.0505755,0.059209,1.0,Grid,0.0585,2021-02-18T14:27:15.622641,2021-02-19T00:42:41.824922,0.0084334999999999,0.0002,
28837670669.0,28919124343.0,0.0505755,0.059167,1.0,Grid,0.059,2021-02-18T14:27:15.981633,2021-02-19T00:43:16.053727,0.0083914999999999,0.0002,
28837671588.0,28919230462.0,0.0505755,0.059896,1.0,Grid,0.0595,2021-02-18T14:27:16.305379,2021-02-19T00:44:11.779788,0.0091204999999999,0.0002,
28837672369.0,28919362430.0,0.0505755,0.06079,1.0,Grid,0.06,2021-02-18T14:27:16.647875,2021-02-19T00:45:10.357545,0.0100144999999999,0.0002,
28837673109.0,28919362884.0,0.0505755,0.06079,1.0,Grid,0.0605,2021-02-18T14:27:16.953237,2021-02-19T00:45:10.576317,0.0100144999999999,0.0002,
28837673906.0,28919493331.0,0.0505755,0.06204,1.0,Grid,0.061,2021-02-18T14:27:17.306623,2021-02-19T00:46:10.028154,0.0112644999999999,0.0002,
28837675262.0,28919595782.0,0.0505755,0.0641809999999999,1.0,Grid,0.0615,2021-02-18T14:27:17.921454,2021-02-19T00:46:47.714850,0.0134055,0.0002,
28837675943.0,28919597651.0,0.0505755,0.0641809999999999,1.0,Grid,0.062,2021-02-18T14:27:18.243034,2021-02-19T00:46:48.574252,0.0134055,0.0002,
28921616691.0,28922338492.0,0.058061,0.059167,1.0,Grid,0.0585,2021-02-19T01:01:49.118183,2021-02-19T01:07:52.075198,0.0009059999999999,0.0002,
28925904075.0,28927931129.0,0.056424,0.057547,1.0,Grid,0.0565,2021-02-19T01:35:54.971133,2021-02-19T01:51:31.922414,0.0009229999999999,0.0002,
28928984578.0,28930390751.0,0.0564,0.057544,1.0,Grid,0.0565,2021-02-19T02:00:04.039077,2021-02-19T02:12:06.299495,0.0009439999999999,0.0002,
28925721791.0,28930449030.0,0.056746,0.058061,1.0,Grid,0.057,2021-02-19T01:34:28.697047,2021-02-19T02:12:40.536729,0.0011149999999999,0.0002,
28925578624.0,28930500310.0,0.057312,0.0583789999999999,1.0,Grid,0.0575,2021-02-19T01:33:27.834944,2021-02-19T02:13:11.049103,0.0008669999999999,0.0002,
28921858180.0,28935540667.0,0.057561,0.058673,1.0,Grid,0.0579999999999999,2021-02-19T01:03:49.499758,2021-02-19T02:58:18.063246,0.000912,0.0002,
28922782816.0,28936941445.0,0.058061,0.059167,1.0,Grid,0.0585,2021-02-19T01:11:21.717706,2021-02-19T03:07:51.646536,0.0009059999999999,0.0002,
28921546014.0,28936943478.0,0.0579465,0.059167,1.0,Grid,0.059,2021-02-19T01:01:19.563289,2021-02-19T03:07:52.317023,0.0010204999999999,0.0002,
28920520712.0,28937883061.0,0.0592335,0.0605095,1.0,Grid,0.0595,2021-02-19T00:53:16.120783,2021-02-19T03:15:21.792115,0.0010759999999999,0.0002,
28920522652.0,28937883535.0,0.0592335,0.0605095,1.0,Grid,0.06,2021-02-19T00:53:17.182210,2021-02-19T03:15:22.026512,0.0010759999999999,0.0002,
28942125201.0,28946843389.0,0.057707,0.058773,1.0,Grid,0.0579999999999999,2021-02-19T03:49:05.468272,2021-02-19T04:28:20.923204,0.0008659999999999,0.0002,
28940949852.0,28948973061.0,0.0584019999999999,0.0595169999999999,1.0,Grid,0.0585,2021-02-19T03:39:32.517714,2021-02-19T04:47:58.652528,0.0009149999999999,0.0002,
28938843059.0,28952611825.0,0.0589575,0.0601,1.0,Grid,0.059,2021-02-19T03:22:26.135554,2021-02-19T05:23:38.847080,0.0009424999999999,0.0002,
28938529429.0,28952666621.0,0.059167,0.060338,1.0,Grid,0.0595,2021-02-19T03:19:55.080948,2021-02-19T05:24:13.647619,0.000971,0.0002,
28938248008.0,28953553591.0,0.0595915,0.0611429999999999,1.0,Grid,0.06,2021-02-19T03:17:56.257704,2021-02-19T05:32:44.232584,0.0013515,0.0002,
28919888105.0,28953651484.0,0.060384,0.061734,1.0,Grid,0.0605,2021-02-19T00:48:45.522100,2021-02-19T05:33:43.318558,0.0011499999999999,0.0002,
28919890415.0,28953652406.0,0.060384,0.061734,1.0,Grid,0.061,2021-02-19T00:48:46.602990,2021-02-19T05:33:43.977026,0.0011499999999999,0.0002,
28919891903.0,28953710665.0,0.060384,0.0615524999999999,1.0,Grid,0.0615,2021-02-19T00:48:47.418228,2021-02-19T05:34:21.384530,0.0009685,0.0002,
28953828154.0,28954701416.0,0.060764,0.0618115,1.0,Grid,0.061,2021-02-19T05:35:40.829643,2021-02-19T05:43:45.904425,0.0008474999999999,0.0002,
28953829259.0,28954702552.0,0.060764,0.0618115,1.0,Grid,0.0615,2021-02-19T05:35:41.470293,2021-02-19T05:43:46.643068,0.0008474999999999,0.0002,
28956523321.0,28957618267.0,0.0596654999999999,0.060857,1.0,Grid,0.06,2021-02-19T06:02:20.802067,2021-02-19T06:11:55.116916,0.0009915,0.0002,
28972849035.0,28973106658.0,0.055595,0.056661,1.0,Grid,0.0559999999999999,2021-02-19T08:04:00.314567,2021-02-19T08:05:29.237362,0.0008659999999999,0.0002,
28971785747.0,28974415839.0,0.056451,0.05757,1.0,Grid,0.0565,2021-02-19T07:57:28.772730,2021-02-19T08:14:04.388775,0.000919,0.0002,
28971094461.0,28975761394.0,0.0566355,0.0578525,1.0,Grid,0.057,2021-02-19T07:52:26.251336,2021-02-19T08:23:06.029918,0.0010169999999999,0.0002,
28979108272.0,28981176064.0,0.056321,0.0573615,1.0,Grid,0.0565,2021-02-19T08:46:08.595375,2021-02-19T08:59:45.738599,0.0008404999999999,0.0002,
28982830210.0,28983502248.0,0.0552835,0.056357,1.0,Grid,0.0555,2021-02-19T09:09:19.350134,2021-02-19T09:12:50.135336,0.0008734999999999,0.0002,
28982463226.0,28983608106.0,0.0555149999999999,0.056557,1.0,Grid,0.0559999999999999,2021-02-19T09:07:18.700449,2021-02-19T09:13:24.199376,0.000842,0.0002,
28981992554.0,28988049527.0,0.0562575,0.057267,1.0,Grid,0.0565,2021-02-19T09:04:47.313272,2021-02-19T09:39:24.888181,0.0008094999999999,0.0002,
28977550973.0,28993497549.0,0.0569125,0.0579999999999999,1.0,Grid,0.057,2021-02-19T08:35:35.952732,2021-02-19T10:17:03.876826,0.0008875,0.0002,
29016593805.0,29026726549.0,0.0554794999999999,0.0565515,1.0,Grid,0.0555,2021-02-19T13:05:46.297483,2021-02-19T14:19:25.592128,0.000872,0.0002,
29013352952.0,29027036709.0,0.055702,0.0568899999999999,1.0,Grid,0.0559999999999999,2021-02-19T12:41:53.046322,2021-02-19T14:21:48.445941,0.000988,0.0002,
29034014097.0,29058924259.0,0.0559,0.0571,1.0,Grid,0.0559999999999999,2021-02-19T15:18:04.821714,2021-02-19T18:30:43.759360,0.0009999999999999,0.0002,
29263213340.0,29264610348.0,0.054321,0.0556169999999999,1.0,Grid,0.0555,2021-02-20T21:57:03.561241,2021-02-20T22:04:37.604652,0.0010959999999999,0.0002,
29274560562.0,29285542042.0,0.0549425,0.056055,1.0,Grid,0.055,2021-02-20T22:59:53.592846,2021-02-21T00:04:41.146588,0.0009125,0.0002,
29263216541.0,29285636877.0,0.054321,0.0561595,1.0,Grid,0.0559999999999999,2021-02-20T21:57:04.566080,2021-02-21T00:05:12.333716,0.0016384999999999,0.0002,
29266154243.0,29286651258.0,0.055268,0.0562795,1.0,Grid,0.0555,2021-02-20T22:13:42.153812,2021-02-21T00:11:11.592125,0.0008115,0.0002,
29305794713.0,29320034308.0,0.055499,0.056917,1.0,Grid,0.0555,2021-02-21T02:18:26.826288,2021-02-21T03:53:58.772691,0.001218,0.0002,
29290786626.0,29320036010.0,0.0556955,0.0569169999999999,1.0,Grid,0.0559999999999999,2021-02-21T00:37:22.598963,2021-02-21T03:53:59.551760,0.0010215,0.0002,
29262280770.0,29320351494.0,0.0561575,0.0572855,1.0,Grid,0.0565,2021-02-20T21:52:02.404767,2021-02-21T03:55:55.704986,0.0009279999999999,0.0002,
28997169863.0,29320743485.0,0.056914,0.057954,1.0,Grid,0.057,2021-02-19T10:43:42.302090,2021-02-21T03:58:30.566636,0.0008399999999999,0.0002,
29324394301.0,29327975897.0,0.0558165,0.056828,1.0,Grid,0.0559999999999999,2021-02-21T04:21:02.426284,2021-02-21T04:43:11.712070,0.0008114999999999,0.0002,
29337199270.0,29337697699.0,0.0513,0.052878,1.0,Grid,0.052,2021-02-21T05:42:02.847416,2021-02-21T05:44:32.303983,0.001378,0.0002,
