Zone,UseZone,Exposure,MapTrigger,IDorderBuy,OpenPrice,AmountBuy,timecancelbuy,FilledBuy,feeBuy,ExposureBuy,NAV,TradeTrigger,IDorderSell,ClosePrice,AmountSell,timecancelsell,feeSell,LastClosePrice,Profit,round
0.38,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.382,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.384,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.386,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.38799999999999996,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.39,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.392,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.39399999999999996,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.396,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.39799999999999996,-1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.402,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.40399999999999997,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.406,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.408,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.41,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.412,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.414,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.416,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.418,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.42,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.422,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.424,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4260000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4280000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4300000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4320000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4340000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4360000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4380000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4400000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4420000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4440000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4460000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4480000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4500000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4520000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4540000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4560000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4580000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4600000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4620000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4640000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4660000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4680000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4700000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4720000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4740000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4760000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4780000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4800000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4820000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4840000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4860000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4880000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4900000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4920000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4940000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4960000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.4980000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.5000000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.5020000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.5040000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.5060000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.5080000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
0.5100000000000001,1.0,1.0,-1.0,,,,,,,,,101.0,,,,,,,,
